origin,dest,count
ALHUE,ALHUE,5784
BUIN,BUIN,84668
BUIN,EL BOSQUE,180
BUIN,ESTACION CENTRAL,161
BUIN,LA CISTERNA,151
BUIN,LA FLORIDA,319
BUIN,LAS CONDES,278
BUIN,MACUL,112
BUIN,MAIPU,215
BUIN,NUNOA,271
BUIN,PAINE,1723
BUIN,PROVIDENCIA,160
BUIN,PUENTE ALTO,417
BUIN,RANCAGUA,133
BUIN,SAN BERNARDO,725
BUIN,SAN MIGUEL,292
BUIN,SANTIAGO,648
CALERA DE TANGO,CALERA DE TANGO,20149
CALERA DE TANGO,LAS CONDES,217
CALERA DE TANGO,MAIPU,148
CALERA DE TANGO,NUNOA,125
CALERA DE TANGO,PADRE HURTADO,154
CALERA DE TANGO,PENAFLOR,155
CALERA DE TANGO,PROVIDENCIA,108
CALERA DE TANGO,SAN BERNARDO,391
CALERA DE TANGO,SANTIAGO,137
CALERA DE TANGO,TALAGANTE,234
CERRILLOS,BUIN,218
CERRILLOS,CERRILLOS,58986
CERRILLOS,COLINA,134
CERRILLOS,EL BOSQUE,124
CERRILLOS,ESTACION CENTRAL,832
CERRILLOS,INDEPENDENCIA,113
CERRILLOS,LA CISTERNA,220
CERRILLOS,LA FLORIDA,309
CERRILLOS,LA PINTANA,115
CERRILLOS,LAMPA,171
CERRILLOS,LAS CONDES,110
CERRILLOS,LO ESPEJO,235
CERRILLOS,LO PRADO,125
CERRILLOS,MACUL,119
CERRILLOS,MAIPU,2740
CERRILLOS,MELIPILLA,123
CERRILLOS,NUNOA,252
CERRILLOS,PADRE HURTADO,657
CERRILLOS,PEDRO AGUIRRE CERDA,337
CERRILLOS,PENAFLOR,237
CERRILLOS,PENALOLEN,139
CERRILLOS,PROVIDENCIA,121
CERRILLOS,PUDAHUEL,384
CERRILLOS,PUENTE ALTO,293
CERRILLOS,QUILICURA,109
CERRILLOS,QUINTA NORMAL,153
CERRILLOS,RECOLETA,103
CERRILLOS,RENCA,141
CERRILLOS,SAN BERNARDO,314
CERRILLOS,SAN MIGUEL,365
CERRILLOS,SANTIAGO,894
CERRILLOS,TALAGANTE,135
CERRO NAVIA,BUIN,182
CERRO NAVIA,CERRILLOS,342
CERRO NAVIA,CERRO NAVIA,102849
CERRO NAVIA,COLINA,289
CERRO NAVIA,CONCHALI,191
CERRO NAVIA,CURACAVI,101
CERRO NAVIA,EL BOSQUE,152
CERRO NAVIA,ESTACION CENTRAL,707
CERRO NAVIA,INDEPENDENCIA,243
CERRO NAVIA,LA CISTERNA,153
CERRO NAVIA,LA FLORIDA,323
CERRO NAVIA,LA PINTANA,193
CERRO NAVIA,LAMPA,904
CERRO NAVIA,LO PRADO,1130
CERRO NAVIA,MACUL,121
CERRO NAVIA,MAIPU,1253
CERRO NAVIA,MELIPILLA,195
CERRO NAVIA,NUNOA,175
CERRO NAVIA,PADRE HURTADO,245
CERRO NAVIA,PENAFLOR,106
CERRO NAVIA,PENALOLEN,171
CERRO NAVIA,PUDAHUEL,2751
CERRO NAVIA,PUENTE ALTO,640
CERRO NAVIA,QUILICURA,738
CERRO NAVIA,QUINTA NORMAL,1723
CERRO NAVIA,RANCAGUA,141
CERRO NAVIA,RECOLETA,224
CERRO NAVIA,RENCA,1558
CERRO NAVIA,SAN ANTONIO,118
CERRO NAVIA,SAN BERNARDO,334
CERRO NAVIA,SAN JOAQUIN,114
CERRO NAVIA,SAN MIGUEL,249
CERRO NAVIA,SANTIAGO,1461
CERRO NAVIA,TEMUCO,104
COLINA,COLINA,124177
COLINA,CONCHALI,348
COLINA,EL BOSQUE,111
COLINA,ESTACION CENTRAL,212
COLINA,HUECHURABA,360
COLINA,INDEPENDENCIA,302
COLINA,LA FLORIDA,199
COLINA,LA REINA,174
COLINA,LA SERENA,104
COLINA,LAMPA,888
COLINA,LAS CONDES,1491
COLINA,LO BARNECHEA,591
COLINA,LOS ANDES,107
COLINA,MACUL,124
COLINA,MAIPU,249
COLINA,NUNOA,498
COLINA,PENALOLEN,155
COLINA,PROVIDENCIA,516
COLINA,PUDAHUEL,143
COLINA,PUENTE ALTO,274
COLINA,PUERTO MONTT,114
COLINA,PUERTO VARAS,150
COLINA,QUILICURA,308
COLINA,QUINTA NORMAL,123
COLINA,RECOLETA,311
COLINA,RENCA,143
COLINA,SAN BERNARDO,119
